sample_ID,species,reef,project_name,Host-genus,Species,Genotype,Cluster,Fragment_number,TransectLocation(m),Temp_logger_location(m),Temp_logger_name,TCM_logger_location(m),TCM_name,Bag_number,Diver_names,Reef_name,geo_loc_name,DiveStart_mintime,DiveEnd_maxtime,collection_date,sampling_trip,Month,Year,depth,env_biome,env_feature,env_material,env_package,Si(uM),NO2(uM),N_N(uM),NO3(uM),NH4(uM),PO4(uM),Latitude_North,Longitude_W,DEW_Spp,DEW_Site,DEW_Tag,DEW_Frag,DEW_Bag#,DEW_Sampling#,Notes
apal_pr_gSN1_cl139_fr3_18-11-14,apal,pr,persistence_to_resistance,Acropora,palmata,SN1,139,3,31,29,TL-PR9,33,TCM-PR-3,1,Ben_Allan,Pickles_Reef,USA,10:14 AM,1:50 PM,14-Nov-18,1,November,2018,,coral_reef,coral_head,tissue,host-associated,1.5,0,0.71,0.71,6.13,0.15,2459.071,8024.981,Ap,PI,139,3,1,1,NA
apal_pr_gSN1_cl139_fr5_18-11-14,apal,pr,persistence_to_resistance,Acropora,palmata,SN1,139,5,31,29,TL-PR9,33,TCM-PR-3,2,Ben_Allan,Pickles_Reef,USA,10:14 AM,1:50 PM,14-Nov-18,1,November,2018,,coral_reef,coral_head,tissue,host-associated,1.5,0,0.71,0.71,6.13,0.15,2459.071,8024.981,Ap,PI,139,5,2,1,NA
apal_pr_gSN1_cl139_fr6_18-11-14,apal,pr,persistence_to_resistance,Acropora,palmata,SN1,139,6,31,29,TL-PR9,33,TCM-PR-3,3,Ben_Allan,Pickles_Reef,USA,10:14 AM,1:50 PM,14-Nov-18,1,November,2018,,coral_reef,coral_head,tissue,host-associated,1.5,0,0.71,0.71,6.13,0.15,2459.071,8024.981,Ap,PI,139,6,3,1,NA
apal_pr_gSN1_cl134_fr4_18-11-14,apal,pr,persistence_to_resistance,Acropora,palmata,SN1,134,4,29,29,TL-PR9,33,TCM-PR-3,4,Ben_Allan,Pickles_Reef,USA,10:14 AM,1:50 PM,14-Nov-18,1,November,2018,,coral_reef,coral_head,tissue,host-associated,1.5,0,0.71,0.71,6.13,0.15,2459.071,8024.981,Ap,PI,134,4,4,1,NA
apal_pr_gSN1_cl134_fr5_18-11-14,apal,pr,persistence_to_resistance,Acropora,palmata,SN1,134,5,29,29,TL-PR9,33,TCM-PR-3,5,Ben_Allan,Pickles_Reef,USA,10:14 AM,1:50 PM,14-Nov-18,1,November,2018,,coral_reef,coral_head,tissue,host-associated,1.5,0,0.71,0.71,6.13,0.15,2459.071,8024.981,Ap,PI,134,5,5,1,NA
apal_pr_gSN1_cl134_frB_18-11-14,apal,pr,persistence_to_resistance,Acropora,palmata,SN1,134,B,29,29,TL-PR9,33,TCM-PR-3,6,Ben_Allan,Pickles_Reef,USA,10:14 AM,1:50 PM,14-Nov-18,1,November,2018,,coral_reef,coral_head,tissue,host-associated,1.5,0,0.71,0.71,6.13,0.15,2459.071,8024.981,Ap,PI,134,2B,6,1,NA
apal_pr_gSN1_cl130_fr3_18-11-14,apal,pr,persistence_to_resistance,Acropora,palmata,SN1,130,3,27,26,TL-PR8,33,TCM-PR-3,7,Ben_Allan,Pickles_Reef,USA,10:14 AM,1:50 PM,14-Nov-18,1,November,2018,,coral_reef,coral_head,tissue,host-associated,1.5,0,0.71,0.71,6.13,0.15,2459.071,8024.981,Ap,PI,130,3,7,1,NA
apal_pr_gSN1_cl130_fr5_18-11-14,apal,pr,persistence_to_resistance,Acropora,palmata,SN1,130,5,27,26,TL-PR8,33,TCM-PR-3,8,Ben_Allan,Pickles_Reef,USA,10:14 AM,1:50 PM,14-Nov-18,1,November,2018,,coral_reef,coral_head,tissue,host-associated,1.5,0,0.71,0.71,6.13,0.15,2459.071,8024.981,Ap,PI,130,5,8,1,NA
apal_pr_gSN1_cl130_fr6_18-11-14,apal,pr,persistence_to_resistance,Acropora,palmata,SN1,130,6,27,26,TL-PR8,33,TCM-PR-3,9,Ben_Allan,Pickles_Reef,USA,10:14 AM,1:50 PM,14-Nov-18,1,November,2018,,coral_reef,coral_head,tissue,host-associated,1.5,0,0.71,0.71,6.13,0.15,2459.071,8024.981,Ap,PI,130,6,9,1,NA
apal_pr_gHS1_cl112_fr3_18-11-14,apal,pr,persistence_to_resistance,Acropora,palmata,HS1,112,3,23,23,TL-PR8,10,TCM-PR-2,10,Ben_Allan,Pickles_Reef,USA,10:14 AM,1:50 PM,14-Nov-18,1,November,2018,,coral_reef,coral_head,tissue,host-associated,1.5,0,0.71,0.71,6.13,0.15,2459.071,8024.981,Ap,PI,112,3,10,1,NA
