"","domain","phylum","class","order","family","genus","species"
"ASV_7337","Bacteria","Proteobacteria","Gammaproteobacteria","OM182 clade",NA,NA,NA
"ASV_5689","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"ASV_13972","Bacteria","Planctomycetota","Planctomycetes",NA,NA,NA,NA
"ASV_6599","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Bythopirellula",NA
"ASV_4986","Bacteria","Proteobacteria","Gammaproteobacteria","OM182 clade",NA,NA,NA
"ASV_6448","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula",NA
"ASV_479","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"ASV_9348","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"ASV_14336","Bacteria","Planctomycetota","Planctomycetes",NA,NA,NA,NA
"ASV_12711","Bacteria","Planctomycetota","Planctomycetes",NA,NA,NA,NA
"ASV_18555","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_796","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_2855","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_8098","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage",NA
"ASV_5484","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage",NA
"ASV_3393","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage",NA
"ASV_6691","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula",NA
"ASV_8215","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula",NA
"ASV_12965","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rubripirellula",NA
"ASV_3554","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula",NA
"ASV_2675","Bacteria","Proteobacteria","Gammaproteobacteria","AT-s2-59",NA,NA,NA
"ASV_19756","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_4936","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","BD2-7",NA,NA
"ASV_11497","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Algitalea",NA
"ASV_893","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5 marine group",NA
"ASV_365","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5 marine group",NA
"ASV_6491","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"ASV_535","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5 marine group",NA
"ASV_19305","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae",NA,NA
"ASV_2096","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_18813","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","Vicingus",NA
"ASV_17822","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae",NA,NA
"ASV_3871","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_5275","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA,NA
"ASV_7845","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales",NA,NA,NA
"ASV_12366","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_17459","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae",NA,NA
"ASV_9739","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_7929","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_17709","Bacteria","Bacteroidota",NA,NA,NA,NA,NA
"ASV_772","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_14140","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007",NA,NA
"ASV_6644","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3583","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_6667","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_1957","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Haloferula",NA
"ASV_15883","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Haloferula",NA
"ASV_6666","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_4509","Bacteria","Verrucomicrobiota","Verrucomicrobiae",NA,NA,NA,NA
"ASV_9383","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA,NA
"ASV_1450","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA,NA
"ASV_13735","Bacteria","Acidobacteriota","Acidobacteriae","PAUC26f",NA,NA,NA
"ASV_3456","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007",NA,NA
"ASV_10711","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales",NA,NA,NA
"ASV_2272","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15515","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Urania-1B-19 marine sediment group",NA
"ASV_18390","Bacteria","Chloroflexi",NA,NA,NA,NA,NA
