,collection_date,Speed.cm.s.,Bearing.degrees.,Velocity.N.cm.s.,Velocity.E.cm.s.,Temperature.C.,reef,Genotype,Fragment_number,Month,Year,Fragment_num,day,Survey.,LiveFrag,L,W,H,Adjusted.Area,S01FragCount,Year.x,Si.uM.,NO2.uM.,N.N.uM.,NO3.uM.,PO4.uM.,sample_ID,sample_ID2,Health,Month.x,Samp_trip,joining_info,order,species,time_Reef,Cluster,sampling_trip,X,colour_reef,colour_genotype,colour_reef_genotype,colour_timepoint,colour_timepoint_reef,cluster_latitude,cluster_longitude,cluster_depth,depth,Year.y,Month.y,Lat_decimal,Long_decimal,avgchla_mgm.3,sdchla_mgm.3,avgSST_degC,sdSST_degC
bagnumber-2025,19-Nov-19,6.026627907,186.8205,-0.553918605,-0.571651163,26.21434744,cf,ML2,B,November,2019,86.5,19,9,0.5,NA,NA,NA,NA,7,2019,0.426166667,0.017666667,0.272,0.254333333,0.055,apal_cf_gML2_cl78_frB_AH_2019-11-19,apal_cf_gML2_cl78_frB_AH_2019-11-19,AH,November,Trip_5,ML2_Cluster_78_B_cf,206,apal,5_cf,78,5,NA,blue4,orangered,yellow3,orangered,yellow3,25.2206999,-80.2103693,-20.9,20.9,2019,November,25.221,-80.21,0.98994618,0.150965477,27.62378409,0.201932594
bagnumber-1010,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,ML2,3,June,2019,86.5,25,7,0.5,NA,NA,NA,27.3552,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gML2_cl78_fr3_AH_2019-06-25,apal_cf_gML2_cl78_fr3_AH_2019-06-25,AH,June,Trip_3,ML2_Cluster_78_3_cf,2,apal,3_cf,78,3,NA,blue4,orangered,yellow3,maroon2,black,25.2206999,-80.2103693,-20.9,20.9,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
bagnumber-1011,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,ML2,4,June,2019,86.5,25,7,0.5,NA,NA,NA,34.5246,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gML2_cl78_fr4_AH_2019-06-25,apal_cf_gML2_cl78_fr4_AH_2019-06-25,AH,June,Trip_3,ML2_Cluster_78_4_cf,3,apal,3_cf,78,3,NA,blue4,orangered,yellow3,maroon2,black,25.2206999,-80.2103693,-20.9,20.9,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
bagnumber-1009,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,ML2,B,June,2019,86.5,25,7,0.5,NA,NA,NA,29.75645,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gML2_cl78_frB_AH_2019-06-25,apal_cf_gML2_cl78_frB_AH_2019-06-25,AH,June,Trip_3,ML2_Cluster_78_B_cf,1,apal,3_cf,78,3,NA,blue4,orangered,yellow3,maroon2,black,25.2206999,-80.2103693,-20.9,20.9,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
bagnumber-538,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,ML2,3,February,2019,86.5,28,5,1,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gML2_cl78_fr3_AH_2019-02-28,apal_cf_gML2_cl78_fr3_AH_2019-02-28,AH,February,Trip_2,ML2_Cluster_78_3_cf,303,apal,2_cf,78,2,NA,blue4,orangered,yellow3,blue4,blue4,25.2206999,-80.2103693,-20.9,20.9,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-604,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,ML2,3,February,2019,86.5,28,5,1,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gML2_cl95_fr3_AH_2019-02-28,apal_cf_gML2_cl95_fr3_AH_2019-02-28,AH,February,Trip_2,ML2_Cluster_95_3_cf,317,apal,2_cf,95,2,NA,greenyellow,orangered,yellow3,blue4,blue4,25.2206699,-80.2103919,-20.9,20.9,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-539,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,ML2,4,February,2019,86.5,28,5,1,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gML2_cl78_fr4_AH_2019-02-28,apal_cf_gML2_cl78_fr4_AH_2019-02-28,AH,February,Trip_2,ML2_Cluster_78_4_cf,304,apal,2_cf,78,2,NA,blue4,orangered,yellow3,blue4,blue4,25.2206999,-80.2103693,-20.9,20.9,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-605,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,ML2,4,February,2019,86.5,28,5,1,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gML2_cl95_fr4_AH_2019-02-28,apal_cf_gML2_cl95_fr4_AH_2019-02-28,AH,February,Trip_2,ML2_Cluster_95_4_cf,318,apal,2_cf,95,2,NA,greenyellow,orangered,yellow3,blue4,blue4,25.2206699,-80.2103919,-20.9,20.9,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-537,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,ML2,A,February,2019,86.5,28,5,0.5,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gML2_cl78_frA_AH_2019-02-28,apal_cf_gML2_cl78_frA_AH_2019-02-28,AH,February,Trip_2,ML2_Cluster_78_A_cf,302,apal,2_cf,78,2,NA,blue4,orangered,yellow3,blue4,blue4,25.2206999,-80.2103693,-20.9,20.9,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-1016,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,CN4,A,June,2019,30,25,7,1,NA,NA,NA,72.2717,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gCN4_cl25_frA_AH_2019-06-25,apal_cf_gCN4_cl25_frA_AH_2019-06-25,AH,June,Trip_3,CN4_Cluster_25_A_cf,7,apal,3_cf,25,3,NA,blue4,maroon2,orangered,maroon2,black,25.220825,-80.2102634,-20.8,20.8,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
