Samp_trip,file,zhang_ID,reef,collection_date,Month,Year,Si(uM),NO2(uM),N+N(uM),NO3(uM),NH4(uM),PO4(uM),date_processed,STD,Wash,watercolumn,transect,filtered,chloroform,dilution_factor,latitude,longitude
1,POR_nutrients_samp_trip1,Zhang-03,cf,26-Nov-18,November,2018,1.153,0.023,0.673,0.65,7.741,0.141,12/20/18,LNSW,LNSW,bottom,AC12 ,yes,yes,NA,,
2,POR_nutrients_samp_trip2,Zhang-01,cf,28-Feb-19,February,2019,0.335,0.022,0.996,0.974,18.417,0.039,3/7/19,LNSW,LNSW,bottom,Ap 35,yes,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-001,cf,25-Jun-19,June,2019,0.736,0.03,1.094,1.064,3.734,0.073,7/10/19,LNSW,LNSW,top,start,yes,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-002,cf,25-Jun-19,June,2019,9.406,0.025,0.344,0.319,4.545,0.06,7/10/19,LNSW,LNSW,top,middle,no,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-003,cf,25-Jun-19,June,2019,0.594,0.027,0.314,0.287,3.233,0.072,7/10/19,LNSW,LNSW,top,end,no,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-004,cf,25-Jun-19,June,2019,0.676,0.034,0.692,0.658,3.796,0.064,7/10/19,LNSW,LNSW,bottom,start,yes,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-005,cf,25-Jun-19,June,2019,0.643,0.034,0.276,0.242,2.896,0.029,7/10/19,LNSW,LNSW,bottom,middle,no,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-006,cf,25-Jun-19,June,2019,0.627,0.028,0.25,0.222,6.313,0.029,7/10/19,LNSW,LNSW,bottom,end,no,yes,NA,,
4,POR_nutrients_samp_trip4,Zhang_001,cf,25-Sep-19,September,2019,0.3,0.02,1.85,1.83,10.22,0.05,10/8/19,LNSW,LNSW,top,start,yes,yes,NA,25.22088,-80.21021
4,POR_nutrients_samp_trip4,Zhang_002,cf,25-Sep-19,September,2019,0,0.01,1.38,1.36,2.04,0.03,10/8/19,LNSW,LNSW,top,mid,yes,yes,NA,25.22073,-80.21035
