sample_ID,bag_num,sample_ID2,Fragment_number,Health,collection_date,Month,Year,Samp_trip,joining_info,order,species,time_Reef,reef,Genotype,Cluster,sampling_trip,X,colour_reef,colour_genotype,colour_reef_genotype,colour_timepoint,colour_timepoint_reef,cluster_latitude,cluster_longitude,cluster_depth
apal_cf_gML2_cl78_frB_AH_2019-06-25,bagnumber-1009,apal_cf_gML2_cl78_frB_AH_2019-06-25,B,AH,25-Jun-19,June,2019,Trip_3,ML2_Cluster_78_B_cf,1,apal,3_cf,cf,ML2,78,3,NA,blue4,orangered,yellow3,maroon2,black,25.2206999,-80.2103693,20.9
apal_cf_gML2_cl78_fr3_AH_2019-06-25,bagnumber-1010,apal_cf_gML2_cl78_fr3_AH_2019-06-25,3,AH,25-Jun-19,June,2019,Trip_3,ML2_Cluster_78_3_cf,2,apal,3_cf,cf,ML2,78,3,NA,blue4,orangered,yellow3,maroon2,black,25.2206999,-80.2103693,20.9
apal_cf_gML2_cl78_fr4_AH_2019-06-25,bagnumber-1011,apal_cf_gML2_cl78_fr4_AH_2019-06-25,4,AH,25-Jun-19,June,2019,Trip_3,ML2_Cluster_78_4_cf,3,apal,3_cf,cf,ML2,78,3,NA,blue4,orangered,yellow3,maroon2,black,25.2206999,-80.2103693,20.9
apal_cf_gCN4_cl35_fr3_AH_2019-06-25,bagnumber-1013,apal_cf_gCN4_cl35_fr3_AH_2019-06-25,3,AH,25-Jun-19,June,2019,Trip_3,CN4_Cluster_35_3_cf,4,apal,3_cf,cf,CN4,35,3,NA,blue4,maroon2,orangered,maroon2,black,25.2207798,-80.2102852,17.9
apal_cf_gCN4_cl35_fr4_AH_2019-06-25,bagnumber-1014,apal_cf_gCN4_cl35_fr4_AH_2019-06-25,4,AH,25-Jun-19,June,2019,Trip_3,CN4_Cluster_35_4_cf,5,apal,3_cf,cf,CN4,35,3,NA,blue4,maroon2,orangered,maroon2,black,25.2207798,-80.2102852,17.9
apal_cf_gCN4_cl35_fr5_AH_2019-06-25,bagnumber-1015,apal_cf_gCN4_cl35_fr5_AH_2019-06-25,5,AH,25-Jun-19,June,2019,Trip_3,CN4_Cluster_35_5_cf,6,apal,3_cf,cf,CN4,35,3,NA,blue4,maroon2,orangered,maroon2,black,25.2207798,-80.2102852,17.9
apal_cf_gCN4_cl25_frA_AH_2019-06-25,bagnumber-1016,apal_cf_gCN4_cl25_frA_AH_2019-06-25,A,AH,25-Jun-19,June,2019,Trip_3,CN4_Cluster_25_A_cf,7,apal,3_cf,cf,CN4,25,3,NA,blue4,maroon2,orangered,maroon2,black,25.220825,-80.2102634,20.8
apal_cf_gHS1_cl18_fr3_AH_2019-06-25,bagnumber-1017,apal_cf_gHS1_cl18_fr3_AH_2019-06-25,3,AH,25-Jun-19,June,2019,Trip_3,HS1_Cluster_18_3_cf,8,apal,3_cf,cf,HS1,18,3,NA,blue4,greenyellow,mediumpurple,maroon2,black,25.2208501,-80.2102565,18.8
apal_cf_gHS1_cl18_frB_AH_2019-06-25,bagnumber-1018,apal_cf_gHS1_cl18_frB_AH_2019-06-25,B,AH,25-Jun-19,June,2019,Trip_3,HS1_Cluster_18_B_cf,9,apal,3_cf,cf,HS1,18,3,NA,blue4,greenyellow,mediumpurple,maroon2,black,25.2208501,-80.2102565,18.8
apal_cf_gHS1_cl18_fr6_AH_2019-06-25,bagnumber-1019,apal_cf_gHS1_cl18_fr6_AH_2019-06-25,6,AH,25-Jun-19,June,2019,Trip_3,HS1_Cluster_18_6_cf,10,apal,3_cf,cf,HS1,18,3,NA,blue4,greenyellow,mediumpurple,maroon2,black,25.2208501,-80.2102565,18.8
apal_cf_gHS1_cl17_fr3_AH_2019-06-25,bagnumber-1020,apal_cf_gHS1_cl17_fr3_AH_2019-06-25,3,AH,25-Jun-19,June,2019,Trip_3,HS1_Cluster_17_3_cf,11,apal,3_cf,cf,HS1,17,3,NA,blue4,greenyellow,mediumpurple,maroon2,black,25.220845,-80.2102483,17.8
apal_cf_gHS1_cl17_fr4_AH_2019-06-25,bagnumber-1022,apal_cf_gHS1_cl17_fr4_AH_2019-06-25,4,AH,25-Jun-19,June,2019,Trip_3,HS1_Cluster_17_4_cf,12,apal,3_cf,cf,HS1,17,3,NA,blue4,greenyellow,mediumpurple,maroon2,black,25.220845,-80.2102483,17.8
apal_cf_gHS1_cl17_fr5_AH_2019-06-25,bagnumber-1023,apal_cf_gHS1_cl17_fr5_AH_2019-06-25,5,AH,25-Jun-19,June,2019,Trip_3,HS1_Cluster_17_5_cf,13,apal,3_cf,cf,HS1,17,3,NA,blue4,greenyellow,mediumpurple,maroon2,black,25.220845,-80.2102483,17.8
apal_cf_gHS1_cl15_fr3_AH_2019-06-25,bagnumber-1025,apal_cf_gHS1_cl15_fr3_AH_2019-06-25,3,AH,25-Jun-19,June,2019,Trip_3,HS1_Cluster_15_3_cf,14,apal,3_cf,cf,HS1,15,3,NA,blue4,greenyellow,mediumpurple,maroon2,black,25.2208297,-80.2102237,17.6
apal_cf_gHS1_cl15_fr4_AH_2019-06-25,bagnumber-1026,apal_cf_gHS1_cl15_fr4_AH_2019-06-25,4,AH,25-Jun-19,June,2019,Trip_3,HS1_Cluster_15_4_cf,15,apal,3_cf,cf,HS1,15,3,NA,blue4,greenyellow,mediumpurple,maroon2,black,25.2208297,-80.2102237,17.6
